	Num	Sequence	Age	Class
44	45	00010000000000000000 00000000010000000000 00000000000001000000	48	0 0 0 0 1 0 0 0
45	46	00010000000000000000 00000000000000000010 00000000001000000000 01000000000000000000 01000000000000000000 00000000001000000000 01000000000000000000 01000000000000000000	28	0 0 0 0 0 0 1 0
46	47	00000000010000000000 00000000010000000000 00000000100000000000 00000000000000000001 00000000000000001000 00000000000000000001 00000000100000000000 00100000000000000000	70	0 0 1 0 0 0 0 0
47	48	00010000000000000000 00000001000000000000 00010000000000000000 00000000010000000000 00000000000001000000 00000000100000000000 00000000100000000000 00000000001000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000100000000000 00000000100000000000 00000000001000000000 01000000000000000000 00000000000000000100 00000000000000000100 01000000000000000000 00000000000100000000 01000000000000000000 00000000100000000000 00000000100000000000 00000000010000000000 01000000000000000000 01000000000000000000 00000000000000000001 00000000100000000000 00000000100000000000	17	0 0 0 0 0 0 0 1
48	49	00000000010000000000 00000000000001000000 00000000100000000000 00100000000000000000	32	0 0 0 0 0 0 1 0
49	50	00010000000000000000 00000000001000000000 00000000000000000001 00000000000000000010 00000000000000000001 00000000100000000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000001000000000 00000000000100000000 00000000100000000000 00000000001000000000 01000000000000000000 00000000001000000000 00000000100000000000	37	0 0 0 0 0 1 0 0
50	51	00000000000010000000 00000000000001000000 00000000000010000000 00000000100000000000 00100000000000000000	46	0 0 0 0 1 0 0 0
51	52	00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000000001000000000 01000000000000000000 00000000100000000000 00000000000000000100 00000100000000000000 01000000000000000000 00000000000001000000 01000000000000000000 00000000000000001000 00000000010000000000 00000000000000000100 00000000001000000000 01000000000000000000 00000000000001000000 00000000000000000100 00000000100000000000	41	0 0 0 0 0 1 0 0
52	53	00000000010000000000 00000000010000000000 00000000010000000000 00000000000100000000 00000000000000000001 00000000000000001000 00000000000000000001 00000000010000000000 00000000010000000000 00000001000000000000 00100000000000000000	26	0 0 0 0 0 0 1 0
53	54	00000000010000000000 00000000000000000001 00000000000001000000 00000000100000000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000100000000 01000000000000000000 00000100000000000000 00000100000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00100000000000000000	31	0 0 0 0 0 0 1 0
54	55	01000000000000000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000100000000000 00000100000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000100000000000000 00000001000000000000 00100000000000000000	25	0 0 0 0 0 0 0 1
55	56	00000000000001000000 00000000001000000000 00000000000000000010 00000000100000000000 00000000000010000000 00000000000001000000 00000000000100000000 01000000000000000000 00000000010000000000 00000000000000000010 00000000000000000001 00000000000001000000 00100000000000000000	24	0 0 0 0 0 0 0 1
56	57	00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 01000000000000000000 00000000001000000000 00000000000000000100 00000100000000000000	41	0 0 0 0 0 1 0 0
57	58	00000000000000010000 01000000000000000000 00000000000000000001 00100000000000000000	30	0 0 0 0 0 0 1 0
58	59	00000000001000000000 00000100000000000000 01000000000000000000 01000000000000000000 00000000000000000001 00000000000000000010 00000000000000000100 00000000000000000001	31	0 0 0 0 0 0 1 0
59	60	00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 01000000000000000000 00000000001000000000 00010000000000000000 00000000000000000010 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000001000 00000000000001000000 00000000100000000000	23	0 0 0 0 0 0 0 1
60	61	00001000000000000000 00000001000000000000 00001000000000000000 00000000000000000010 01000000000000000000 00000000000000000001 00000000000000000001 00000000000001000000 00100000000000000000	86	1 0 0 0 0 0 0 0
61	62	00010000000000000000 00000000001000000000 01000000000000000000	20	0 0 0 0 0 0 0 1
62	63	00000000000000000001 00000000000001000000 00000000010000000000 00000000000000000010 00000000010000000000 00000000010000000000	30	0 0 0 0 0 0 1 0
63	64	00000000000000010000 01000000000000000000 00000000000000000001 00100000000000000000	31	0 0 0 0 0 0 1 0
64	65	00010000000000000000 00000000001000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000000000000010 00000000000000000010 00000000000000000100 00000000100000000000 00000000000000001000 01000000000000000000 00000000000100000000 00000000000000000100 00000000100000000000 00000000100000000000	48	0 0 0 0 1 0 0 0
65	66	01000000000000000000 00000000000010000000 00000000000001000000 00000000000000001000 01000000000000000000 00000000000010000000 00000000100000000000 00000000000001000000 00000000000000000010 00100000000000000000	29	0 0 0 0 0 0 1 0
66	67	00010000000000000000 00000000001000000000 00000100000000000000 01000000000000000000 01000000000000000000 00000000001000000000	50	0 0 0 0 1 0 0 0
67	68	00010000000000000000 00000001000000000000 00010000000000000000 00000000000000000001 00000000000001000000 00000000010000000000	23	0 0 0 0 0 0 0 1
68	69	00000000100000000000 00000000010000000000 00000000100000000000 00000000000001000000 00000000100000000000 00010000000000000000 00000000100000000000 01000000000000000000 00000000000001000000 00000000001000000000 00000000000000000100 01000000000000000000 00000000100000000000 00000000000001000000 00000000100000000000 00000000100000000000 00000000010000000000 00000001000000000000 00000000000001000000 00000000000001000000 00000000100000000000 00000000100000000000 00000000000001000000 00000001000000000000 00100000000000000000	70	0 0 1 0 0 0 0 0
69	70	00010000000000000000 00000000010000000000 00000000000000000010 00000000000000010000 00000000000000000001 00000000000001000000 00000000000001000000	45	0 0 0 0 0 1 0 0
70	71	00000000010000000000 00000000010000000000 00000000010000000000 01000000000000000000 00000000000000000010 00000000010000000000 00000000010000000000 00100000000000000000	32	0 0 0 0 0 0 1 0
71	72	00000000000000000010 00000000000010000000 00000000000001000000 00000000100000000000 00000000010000000000 00000000000010000000 01000000000000000000 01000000000000000000 00000000000100000000 00000000000000000001 00000000000001000000 00000000000001000000 00100000000000000000	23	0 0 0 0 0 0 0 1
72	73	00010000000000000000 00000000010000000000	38	0 0 0 0 0 1 0 0
73	74	00000000001000000000 01000000000000000000 00000000001000000000 00000000000000000100 00000000000000000001 00000000000001000000 00000000000100000000 01000000000000000000 00000000001000000000 00000000000100000000 01000000000000000000 00000000000000000010 00000000000000000010 00000000000001000000 00000000100000000000	54	0 0 0 0 1 0 0 0
74	75	00010000000000000000 00000000010000000000 00000000000001000000 01000000000000000000 00000000000000000001 00000000100000000000 01000000000000000000 00000000100000000000	35	0 0 0 0 0 0 1 0
75	76	00010000000000000000 00000000000000000010 00000100000000000000 01000000000000000000 00000000000001000000 00000000001000000000 00000100000000000000 01000000000000000000 00000000000000000010 00000000000001000000 00000100000000000000 00000000000001000000 00000000001000000000 00000000100000000000 00000000010000000000 00000000010000000000 00000000000001000000 00000000100000000000 00000000100000000000	26	0 0 0 0 0 0 1 0
76	77	00010000000000000000 00000000000000000001 00000000000001000000 00000000100000000000 00000000010000000000 00000000000100000000 01000000000000000000 00000100000000000000	38	0 0 0 0 0 1 0 0
77	78	00000000000001000000 00001000000000000000 00000001000000000000 00001000000000000000 00000000100000000000 00000000000000000010 01000000000000000000 00000000000000000010 00000000000001000000 00000000000000000010 00000000010000000000 00000000010000000000 00100000000000000000	42	0 0 0 0 0 1 0 0
78	79	00000000000010000000 00000000000001000000 01000000000000000000 00000000001000000000 00000000000000001000 00000000000010000000 00000000000001000000 01000000000000000000 00000000001000000000 00000000100000000000 00000000000000000100 01000000000000000000 00000000000000000010 00100000000000000000	20	0 0 0 0 0 0 0 1
79	80	00000000000001000000 01000000000000000000 00000000010000000000 01000000000000000000 00000000100000000000 00000000000000000001 00000000000000000001 00000000000000000001 01000000000000000000 00000000000000010000 00000000000000000001 00100000000000000000	54	0 0 0 0 1 0 0 0
80	81	00000000100000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000000001000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000100000000000 00000000100000000000 01000000000000000000 10000000000000000000 00000000000001000000 00000000010000000000 00000000100000000000 00000000100000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000000100000000000	44	0 0 0 0 0 1 0 0
81	82	00001000000000000000 00000000000000000100 00000000000000000010 00000000000001000000 00000000100000000000 00000000000000000001 00000000000001000000 00000000000000000100 00000000000000000010 00000000010000000000 00000000010000000000 00000000100000000000 01000000000000000000 00000000000001000000 00000000000000000001 00000000000000000100 01000000000000000000 00000000000000000010 01000000000000000000 00000000100000000000	23	0 0 0 0 0 0 0 1
82	83	00000000000000000001 00000000000000000100 00000000000001000000 00000000000000000010 00010000000000000000 00000000000000001000 00001000000000000000 01000000000000000000 01000000000000000000 00000000000001000000 00000000000000000010 01000000000000000000 00000000000001000000 00000000000001000000 00000000100000000000 00000000000000000001 00000000000001000000 00000000100000000000	22	0 0 0 0 0 0 0 1
83	84	00000000010000000000 00000000000001000000 00000000000001000000 00010000000000000000 00000000000001000000 00000000000001000000 00000000100000000000 00100000000000000000	39	0 0 0 0 0 1 0 0
84	85	00000000000000000001 00000000000001000000 00000000000000000010 00010000000000000000 00000000000000000010 00000000000000000001 00000000000000000001 00000000010000000000 00000000010000000000 00000000100000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000000000010000 00000000000000000001 00000100000000000000 00000001000000000000 00100000000000000000	27	0 0 0 0 0 0 1 0
85	86	00000000000000000001 00000000000001000000 01000000000000000000 00000000000001000000 00000000100000000000 00000000000001000000 00000000000001000000 00000000000001000000 00000100000000000000 00000001000000000000 00100000000000000000	34	0 0 0 0 0 0 1 0
86	87	00000000100000000000 00000000100000000000 00000000100000000000 00000000000000000100 00001000000000000000 01000000000000000000 01000000000000000000 00000000100000000000 00000000000000000001 00000000000001000000 00000000100000000000 01000000000000000000 00000000000000000100 00000000000000000001 00000000100000000000 00001000000000000000 00000000100000000000 00000000100000000000 00100000000000000000	38	0 0 0 0 0 1 0 0
87	88	00010000000000000000 00000000010000000000 01000000000000000000 00000000000010000000 00000000000000000010 00000000000001000000 00000100000000000000 00000100000000000000	53	0 0 0 0 1 0 0 0
88	89	01000000000000000000 00000000000000001000 01000000000000000000 00000000100000000000 00000000010000000000 00000100000000000000 00000001000000000000 00010000000000000000	20	0 0 0 0 0 0 0 1
89	90	00010000000000000000 00000000000000000001 00000000000001000000	34	0 0 0 0 0 0 1 0
90	91	01000000000000000000 00000000000010000000 00000000000010000000 00000010000000000000 00000000000010000000 00000000100000000000 00010000000000000000 00000100000000000000 00000001000000000000 00000000010000000000 00000000100000000000 00010000000000000000 00000000000000000100 00000000000000000010 00000000000010000000 00000000000000000010 00000000000000010000 00000000000001000000 00000000000000000010 00000000000000000100 00000000000000000100 00000000000000000100 00000000000000000100 00000000100000000000 00100000000000000000	41	0 0 0 0 0 1 0 0
91	92	00000000001000000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000000010000000 00000000000001000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000000010000 00000000000001000000 00000000100000000000 00001000000000000000	29	0 0 0 0 0 0 1 0
92	93	00010000000000000000 00000000010000000000 00000000010000000000 00000000010000000000	27	0 0 0 0 0 0 1 0
93	94	00000000010000000000 00000000000000001000 00000000000001000000 00001000000000000000 01000000000000000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000100000000 01000000000000000000 00000000000000000010 00000000000000010000 00000000000000000001 00000000000001000000 01000000000000000000 01000000000000000000 00000000000000000001 00000000000000000010 00000000010000000000 00000000100000000000 00100000000000000000	26	0 0 0 0 0 0 1 0
94	95	00010000000000000000 00000000010000000000 00000000001000000000 01000000000000000000 00000000000000000100 00000000000000000001 00000000000000001000 00000000000000000100 01000000000000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000001000000000 01000000000000000000 00000000000000000001 00000000000001000000 00000000100000000000 00000000000000000001 00000000000001000000 00000000000001000000 01000000000000000000 01000000000000000000 00000000000000000100 00000000000000000001 00000000000001000000 01000000000000000000 01000000000000000000 00000000000000000100 00000000100000000000	22	0 0 0 0 0 0 0 1
95	96	00010000000000000000 01000000000000000000 00000000000000000001 00000000000010000000 00000000000001000000 00000000010000000000 00000000100000000000 00000000010000000000 00000000000000000010 00000000010000000000 00000000000000000010 00000000000010000000 00000000100000000000 00000001000000000000 00001000000000000000	43	0 0 0 0 0 1 0 0
96	97	00010000000000000000 00000000000000000001	76	0 1 0 0 0 0 0 0
97	98	00000000001000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000100000000000 00000000000001000000 00000000000010000000 00000000000000010000 00000000000001000000 00000000000000000010 00000000000000000001 00000000000000000001 00000000100000000000 00000000000000000001 00000000100000000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000010000000 00000000000001000000 00000000000100000000 00000000100000000000 01000000000000000000 00000000000001000000 00000000000010000000 00100000000000000000	67	0 0 1 0 0 0 0 0
98	99	00000000000010000000 00000000000001000000 01000000000000000000 00000000001000000000 00000010000000000000 00000000000000000100 01000000000000000000 00000000000000000010 00100000000000000000	52	0 0 0 0 1 0 0 0
99	100	00000000000001000000 00001000000000000000	22	0 0 0 0 0 0 0 1
100	101	01000000000000000000 00000000000000000010 00000000000001000000 00000000000001000000 00000000100000000000 00000000010000000000 00000000000001000000 00000000100000000000 00000000000001000000 00000000100000000000 00000001000000000000 00100000000000000000	32	0 0 0 0 0 0 1 0
101	102	00010000000000000000 00000000010000000000 00000000100000000000 00000000010000000000 00000000100000000000 00000000010000000000 00000000100000000000 00000000010000000000 00000000100000000000 00010000000000000000	23	0 0 0 0 0 0 0 1
102	103	01000000000000000000 00000000000000010000 00001000000000000000 00000000000001000000 00000000000000000010 00000000010000000000 00000000100000000000 00100000000000000000	52	0 0 0 0 1 0 0 0
103	104	00010000000000000000 00000001000000000000 00010000000000000000 00000000010000000000 00000000100000000000	43	0 0 0 0 0 1 0 0
104	105	01000000000000000000 00000000000100000000 00000000000000010000 00000000000001000000 00000000000000000010 00000000010000000000 00000000010000000000 00100000000000000000	40	0 0 0 0 0 1 0 0
105	106	00000000001000000000 01000000000000000000 01000000000000000000 00000000100000000000 00000000001000000000 01000000000000000000 00000000001000000000 01000000000000000000 00000000000000000100 00000000100000000000 00000000000001000000 00000000001000000000 01000000000000000000 00000000000000000010 00000000000000000001 00000000000001000000 00000000000001000000 00000000100000000000 00100000000000000000	33	0 0 0 0 0 0 1 0
106	107	00010000000000000000 00000000001000000000 01000000000000000000 00000000100000000000 00000000001000000000 01000000000000000000 00000000000100000000 00000000000000001000 01000000000000000000 00000000000000010000 00000000000000000001 00000000000001000000	28	0 0 0 0 0 0 1 0
107	108	01000000000000000000 00000000000000000010 00000000000001000000 00000000100000000000 00000000000000000100 01000000000000000000 00000000000000000001 00000000000000001000 01000000000000000000 00000000000000000100 01000000000000000000 00000000000001000000 00000000000000000010 00000000000001000000 01000000000000000000 00000000000000000010 00001000000000000000	21	0 0 0 0 0 0 0 1
108	109	00010000000000000000 00000001000000000000 00010000000000000000 00000000000010000000 00000000000000000100 00000000100000000000 00000000000000000100 01000000000000000000 00000000001000000000 00000000000100000000 00000000100000000000 00000000000000010000 00000000100000000000 00000000000000000001 00000000100000000000 00000000000001000000 01000000000000000000 00000000000000010000 00000000000000000100 00000000100000000000 00000000100000000000	36	0 0 0 0 0 1 0 0
109	110	00010000000000000000 00000000000001000000 01000000000000000000 00000000000000000001 00000000000000000001	53	0 0 0 0 1 0 0 0
110	111	00010000000000000000 00000000010000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000100000000000000 00000100000000000000 01000000000000000000 00000000000000000100 00000000000000000001 00000000000000000100	41	0 0 0 0 0 1 0 0
111	112	00000000000000000100 00000000000000010000 00000000000001000000 00000000000000000010 00000000000000010000 00000000010000000000 00000000000000001000 01000000000000000000 00000100000000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000000000010000 00001000000000000000 00000000000001000000	23	0 0 0 0 0 0 0 1
112	113	00000000000001000000 00000000000000000010 00000000010000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000100000000000000 00000000010000000000 00000100000000000000 00000001000000000000 00100000000000000000	30	0 0 0 0 0 0 1 0
113	114	00000000100000000000 00000100000000000000 00000000000010000000 00000010000000000000 00000000000010000000 00000100000000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000000000010000000 00000000010000000000 00000000010000000000 00000000100000000000 00000000100000000000 00000000000001000000 00000000100000000000 00000000100000000000 00000000010000000000 00000000010000000000 00000000000001000000 00000000000001000000 00000000010000000000 00000000000010000000 00100000000000000000	22	0 0 0 0 0 0 0 1
